roast_id,timestamp,tc,t1,t2,flow_gas,vac,drum_speed,vaf_close,vat_open,gas_pressure,air_speed,set_bf,set_vac,set_tt,set_vaf,set_vat
SYNTH_001_P10,2000-01-01 06:04:55,157.4,710.2,560.8,40.6,579.1,36.4,31.9,46.6,148.7,6.92,40.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:00,160.4,707.3,564.4,40.9,597.7,36.6,24.6,57.9,141.2,6.8,40.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:05,164.2,714.6,567.8,40.5,536.1,36.5,35.9,46.8,134.7,6.84,40.5,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:10,167.2,719.2,568.7,38.1,489.4,36.4,18.0,42.8,133.2,6.54,38.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:15,170.2,710.8,566.2,39.4,494.1,36.5,33.5,40.3,142.1,6.61,39.4,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:20,173.2,710.7,567.9,38.7,505.3,36.5,10.3,31.4,141.2,6.6,38.7,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:25,176.5,731.5,576.6,38.5,498.5,36.5,13.9,55.9,140.1,6.65,38.5,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:30,180.0,726.6,577.5,38.0,510.9,36.6,24.3,61.4,136.1,6.61,38.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:35,182.9,724.2,577.4,40.6,468.5,36.5,25.4,41.2,136.4,6.6,40.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:40,185.8,715.2,576.7,41.0,530.5,36.5,26.3,47.8,134.4,6.57,41.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:45,189.8,724.8,581.8,42.0,514.8,36.5,18.7,55.1,144.5,6.52,42.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:50,192.7,739.7,588.7,45.1,480.4,36.5,14.6,54.4,134.5,6.51,45.1,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:05:55,196.2,742.9,592.5,42.9,499.2,36.5,23.1,35.7,138.8,6.51,42.9,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:00,199.4,743.0,596.8,40.6,543.1,36.5,19.4,66.5,136.6,6.57,40.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:05,203.1,750.7,600.8,42.0,469.6,36.5,22.8,44.6,144.4,6.54,42.0,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:10,206.0,742.3,596.9,36.6,504.8,36.5,21.1,44.1,134.7,6.57,36.6,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:15,209.0,750.6,600.2,41.2,520.8,36.5,34.6,44.0,141.9,6.56,41.2,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:20,206.0,748.2,599.2,41.3,455.2,36.5,33.4,43.9,144.3,6.58,41.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:25,201.6,758.5,598.9,43.3,489.7,36.4,30.0,51.7,135.6,6.61,43.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:30,198.5,752.5,599.4,44.3,482.0,36.4,32.5,58.3,139.5,6.64,44.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:35,195.2,745.8,599.5,44.3,607.2,36.5,18.9,54.1,140.2,6.66,44.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:40,192.0,746.5,600.7,40.3,493.0,36.5,20.6,49.9,143.1,6.64,40.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:45,187.9,749.9,604.4,42.8,494.7,36.5,26.9,54.7,139.6,6.59,42.8,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:50,184.7,755.1,604.2,42.3,447.5,36.5,21.7,51.7,140.4,6.58,42.3,50.0,87.0,26.0,56.0
SYNTH_001_P10,2000-01-01 06:06:55,181.5,749.5,602.2,45.6,596.7,36.5,22.0,54.2,141.0,6.51,45.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:00,203.8,311.5,219.0,5.0,511.8,36.5,34.8,59.9,142.8,6.89,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:05,205.0,312.5,223.0,5.0,542.3,36.6,19.5,50.1,133.5,6.96,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:10,204.4,309.7,217.8,5.1,491.9,36.6,24.6,59.0,140.4,6.87,5.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:15,204.7,313.6,223.4,5.0,511.0,36.5,37.5,48.6,146.3,6.87,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:20,204.6,308.5,218.4,5.0,471.4,36.5,18.6,55.5,134.1,6.87,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:25,205.1,320.3,223.3,5.0,519.2,36.6,15.9,58.9,136.9,6.86,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:30,204.4,315.6,223.8,5.6,476.9,36.5,17.3,52.9,137.0,6.88,5.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:35,204.7,314.5,221.4,5.0,529.5,36.5,24.3,62.9,141.8,6.94,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:40,193.0,320.9,233.4,8.4,518.4,36.6,27.8,50.8,143.1,6.96,8.4,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:45,185.1,349.8,251.5,5.0,449.5,36.6,18.9,50.5,141.7,6.92,5.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:50,177.4,368.1,266.9,9.7,484.5,36.4,26.4,46.2,140.9,6.93,9.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:45:55,170.6,389.6,280.5,10.0,549.1,36.5,23.2,65.0,142.5,6.89,10.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:00,163.2,391.3,290.2,11.9,524.1,36.5,22.4,52.3,140.1,6.94,11.9,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:05,157.3,407.1,300.6,12.3,496.1,36.5,22.7,44.5,134.6,6.96,12.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:10,151.8,423.9,314.1,15.7,553.9,36.5,18.4,51.7,147.5,6.92,15.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:15,146.6,420.8,321.9,14.4,472.4,36.5,15.3,50.0,138.0,6.92,14.4,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:20,141.7,437.4,330.3,16.1,527.8,36.5,22.7,47.2,143.5,6.88,16.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:25,137.6,451.3,341.0,20.9,497.2,36.5,26.4,46.1,138.0,6.86,20.9,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:30,133.2,472.6,353.9,17.5,494.9,36.5,33.9,57.5,144.9,6.99,17.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:35,129.4,480.6,365.8,20.3,445.5,36.6,26.0,52.5,140.3,6.91,20.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:40,127.1,491.3,378.0,22.8,536.9,36.4,25.7,46.7,143.1,6.88,22.8,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:45,123.5,504.7,388.2,21.7,505.7,36.6,16.4,62.7,133.8,6.92,21.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:50,122.1,525.3,403.0,20.6,541.6,36.5,21.0,60.4,137.1,6.88,20.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:46:55,120.2,532.7,413.4,26.0,529.9,36.6,30.8,58.2,142.4,6.92,26.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:00,118.9,545.9,421.1,26.4,523.7,36.5,25.2,36.5,139.0,6.94,26.4,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:05,116.8,550.6,427.9,27.0,558.6,36.6,14.0,56.2,142.2,6.9,27.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:10,115.7,562.2,435.0,26.5,470.6,36.5,17.6,55.2,144.5,6.91,26.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:15,115.7,563.8,442.2,29.8,543.9,36.6,34.9,50.8,142.2,6.93,29.8,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:20,115.0,575.7,444.9,29.5,445.1,36.5,21.1,47.8,147.3,6.88,29.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:25,115.0,586.2,447.8,27.2,475.4,36.5,11.2,48.7,138.4,6.92,27.2,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:30,114.0,585.2,451.7,29.2,545.4,36.5,19.2,54.9,133.0,6.87,29.2,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:35,115.1,585.3,456.4,32.3,458.8,36.5,20.0,52.0,147.4,6.92,32.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:40,115.4,594.1,464.2,29.3,478.1,36.5,33.6,56.9,142.7,6.9,29.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:45,116.4,600.3,471.9,32.0,529.8,36.5,31.9,50.8,135.8,7.21,32.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:50,117.8,605.9,476.5,30.6,490.9,36.5,21.9,52.3,141.9,7.14,30.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:47:55,118.8,619.5,481.8,32.7,480.8,36.5,21.8,55.5,141.0,7.17,32.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:00,120.1,617.4,485.2,27.3,491.9,36.5,8.4,48.4,143.9,7.23,27.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:05,121.3,631.3,492.7,34.4,502.2,36.6,13.7,54.4,145.7,7.22,34.4,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:10,123.5,633.9,502.5,32.9,510.0,36.4,27.5,54.0,137.6,7.21,32.9,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:15,124.9,642.9,507.7,34.7,569.2,36.5,19.6,35.2,146.7,7.17,34.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:20,127.5,643.7,510.3,37.3,520.3,36.5,41.0,49.0,138.4,7.17,37.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:25,129.7,655.7,514.6,29.9,536.7,36.5,40.3,53.9,140.4,7.12,29.9,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:30,131.8,660.4,522.5,36.5,455.3,36.6,19.1,52.3,136.6,7.18,36.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:35,133.9,673.2,526.9,34.6,463.7,36.6,2.3,54.3,139.1,7.28,34.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:40,136.7,667.7,531.4,36.5,558.3,36.5,17.5,57.0,146.5,7.26,36.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:45,139.9,665.2,531.1,35.8,483.2,36.5,24.7,45.5,140.4,7.16,35.8,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:50,142.8,682.2,536.1,32.2,454.9,36.5,36.7,62.3,140.7,7.2,32.2,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:48:55,146.5,686.2,541.1,35.0,425.1,36.6,28.9,48.4,143.3,7.14,35.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:00,149.3,686.7,545.1,40.5,552.2,36.6,12.3,47.4,139.3,7.27,40.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:05,151.8,690.3,545.4,35.1,519.2,36.4,29.8,59.3,136.2,7.2,35.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:10,154.9,696.6,552.7,36.5,506.0,36.5,9.4,56.1,143.5,7.18,36.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:15,158.6,701.9,555.4,37.1,478.1,36.5,27.1,58.4,133.3,7.18,37.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:20,161.9,704.0,558.4,37.6,476.1,36.5,28.9,63.2,145.2,7.18,37.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:25,165.4,706.7,561.8,42.5,510.0,36.5,30.4,48.9,141.8,7.29,42.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:30,168.8,716.2,562.9,40.2,512.9,36.6,12.8,37.7,139.8,7.21,40.2,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:35,172.2,703.3,565.2,38.1,414.6,36.5,38.7,55.7,140.0,7.2,38.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:40,175.1,714.6,566.3,39.0,491.6,36.6,28.8,44.4,141.2,7.21,39.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:45,180.4,713.4,564.5,40.3,473.3,36.6,39.3,49.1,147.8,7.22,40.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:50,183.0,708.4,566.1,38.1,428.6,36.5,13.8,48.9,141.9,6.94,38.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:49:55,186.3,707.9,569.8,40.3,485.6,36.6,38.2,37.1,149.7,6.92,40.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:00,190.2,719.0,572.8,37.7,433.5,36.6,9.3,35.4,142.2,6.9,37.7,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:05,193.7,729.5,575.5,41.1,491.6,36.5,16.2,68.1,134.6,6.93,41.1,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:10,197.1,728.5,580.3,38.8,505.7,36.5,13.0,60.2,146.6,6.86,38.8,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:15,201.2,727.7,579.6,38.5,483.2,36.5,31.3,33.0,141.4,6.91,38.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:20,205.1,726.9,582.5,41.6,507.2,36.6,20.8,48.7,144.1,6.95,41.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:25,209.0,731.1,583.9,44.5,513.1,36.5,35.5,42.1,132.2,6.99,44.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:30,205.7,727.2,583.6,43.0,453.7,36.5,33.8,70.4,136.1,6.99,43.0,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:35,202.1,720.9,583.8,37.5,448.6,36.5,45.1,38.8,135.6,7.0,37.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:40,198.7,734.1,586.7,39.3,539.3,36.5,19.4,43.8,144.3,7.08,39.3,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:45,195.2,729.5,585.8,39.4,511.2,36.5,32.0,59.2,141.5,7.06,39.4,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:50,192.0,727.5,586.3,41.5,400.8,36.6,31.9,45.3,144.4,7.01,41.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:50:55,188.5,733.0,586.5,40.6,528.8,36.5,10.4,53.4,146.2,7.01,40.6,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:51:00,185.3,727.9,585.7,36.5,458.1,36.6,18.3,54.2,139.2,6.98,36.5,50.0,87.0,26.0,56.0
SYNTH_002_P10,2000-01-01 06:51:05,182.2,738.0,587.1,43.1,515.2,36.5,31.4,64.5,138.3,7.06,43.1,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:00,207.3,321.5,223.3,5.1,540.8,36.5,25.3,53.3,136.8,7.29,5.1,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:05,207.0,308.4,220.9,5.0,496.8,36.6,13.9,47.8,135.1,7.27,5.0,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:10,207.3,323.0,225.0,7.9,483.1,36.5,33.5,39.8,136.6,7.15,7.9,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:15,207.2,315.3,221.2,7.1,486.6,36.6,31.1,44.1,136.9,7.25,7.1,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:20,207.6,312.7,224.7,6.5,499.8,36.5,38.5,63.8,141.3,7.26,6.5,50.0,87.0,26.0,56.0
SYNTH_003_P10,2000-01-01 07:30:25,207.4,322.2,221.7,8.2,508.4,36.6,15.2,37.9,146.8,7.32,8.2,50.0,87.0,26.0,56.0
